#,Date-time,Nest,Ambient
5410,09/11/11 01:26:44 AM,36.933,20.746
5411,09/11/11 01:27:44 AM,36.933,20.46
5412,09/11/11 01:28:44 AM,36.933,20.507
5413,09/11/11 01:29:44 AM,36.851,20.46
5414,09/11/11 01:30:44 AM,36.796,20.507
5415,09/11/11 01:31:44 AM,36.742,20.603
5416,09/11/11 01:32:44 AM,36.851,20.579
5417,09/11/11 01:33:44 AM,36.987,20.46
5418,09/11/11 01:34:44 AM,36.96,20.579
5419,09/11/11 01:35:44 AM,37.042,20.674
5420,09/11/11 01:36:44 AM,36.933,20.484
5421,09/11/11 01:37:44 AM,36.851,20.531
5422,09/11/11 01:38:44 AM,36.851,20.46
5423,09/11/11 01:39:44 AM,36.742,20.507
5424,09/11/11 01:40:44 AM,36.335,20.436
5425,09/11/11 01:41:44 AM,36.2,20.46
5426,09/11/11 01:42:44 AM,36.173,20.46
5427,09/11/11 01:43:44 AM,36.227,20.484
5428,09/11/11 01:44:44 AM,36.417,20.484
5429,09/11/11 01:45:44 AM,36.769,20.531
5430,09/11/11 01:46:44 AM,36.742,20.555
5431,09/11/11 01:47:44 AM,36.715,20.627
5432,09/11/11 01:48:44 AM,36.715,20.65
5433,09/11/11 01:49:44 AM,36.552,20.579
5434,09/11/11 01:50:44 AM,36.281,20.627
5435,09/11/11 01:51:44 AM,36.173,20.65
5436,09/11/11 01:52:44 AM,36.2,20.555
5437,09/11/11 01:53:44 AM,36.308,20.627
5438,09/11/11 01:54:44 AM,36.335,20.746
5439,09/11/11 01:55:44 AM,36.012,20.627
